 Year ,Company Name,Country,GICS Sub-Industry, Industry (Exiobase) ,Environmental Intensity (Sales),Environmental Intensity (Op Inc), Total Environmental Cost , Working Capacity , Fish Production Capacity , Crop Production Capacity , Meat Production Capacity , Biodiversity , Abiotic Resources , Water production capacity (Drinking water & Irrigation Water) , Wood Production Capacity ,% Imputed
2016,CMC MATERIALS INC,UNITED STATES OF AMERICA,Semiconductor Equipment ,Manufacture of electrical machinery and apparatus n.e.c. (31),-0.01,-0.07,"-4,926,725","-4,317,785","-1,153","-55,090","-12,684",-194,"-69,509","-470,779",469,21%
2019,CMS ENERGY CORP,UNITED STATES OF AMERICA,Multi-Utilities,Production of electricity nec,-0.85,-4.72,"-5,843,705,414","-5,595,479,363","-1,293,097","-73,039,135","-17,072,383","-233,066","-1,035,114","-155,580,425","27,170",4%
2018,CMS ENERGY CORP,UNITED STATES OF AMERICA,Multi-Utilities,Production of electricity nec,-0.90,-5.29,"-6,152,656,909","-6,020,582,423","-1,388,237","-78,678,611","-18,394,470","-250,507","-1,039,349","-32,343,914","20,601",4%
2016,CMS ENERGY CORP,UNITED STATES OF AMERICA,Multi-Utilities,Production of electricity nec,-0.61,-3.00,"-3,893,226,111","-3,753,447,754","-994,747","-49,130,918","-11,462,520","-171,080","-967,669","-77,464,958","413,536",15%
2012,CMS ENERGY CORP,UNITED STATES OF AMERICA,Multi-Utilities, Production of electricity nec ,-0.74,-4.60,"-4,612,566,314","-4,513,060,786","-1,132,364","-59,442,252","-13,894,831","-198,764","-711,554","-24,429,847","304,084",10%
2011,CMS ENERGY CORP,UNITED STATES OF AMERICA,Multi-Utilities, Production of electricity nec ,-0.78,-5.05,"-5,061,662,936","-4,952,278,547","-1,207,261","-65,431,429","-15,309,484","-214,262","-530,293","-26,918,282","226,622",7%
2014,CNX RESOURCES CORPORATION,UNITED STATES OF AMERICA,Oil & Gas Exploration & Production," Extraction of crude petroleum and services related to crude oil extraction, excluding surveying ",-1.21,-16.78,"-4,216,020,486","-4,685,398,057","-1,097,066","-62,375,857","-14,617,182","-198,027","-242,904","547,827,142","81,466",0%
2013,CNX RESOURCES CORPORATION,UNITED STATES OF AMERICA,Oil & Gas Exploration & Production," Extraction of crude petroleum and services related to crude oil extraction, excluding surveying ",-1.56,-56.53,"-4,878,999,186","-4,718,418,459","-1,102,441","-62,821,140","-14,722,702","-199,151","-165,552","-81,644,099","74,357",0%
2012,CNX RESOURCES CORPORATION,UNITED STATES OF AMERICA,Oil & Gas Exploration & Production," Extraction of crude petroleum and services related to crude oil extraction, excluding surveying ",-0.96,-15.76,"-4,839,638,840","-4,647,781,018","-1,011,428","-66,241,569","-13,768,565","-190,619","-345,283","-110,491,433","191,075",10%
2011,CNX RESOURCES CORPORATION,UNITED STATES OF AMERICA,Oil & Gas Exploration & Production," Extraction of crude petroleum and services related to crude oil extraction, excluding surveying ",-0.93,-6.70,"-5,344,953,968","-4,768,338,864","-1,099,630","-63,345,835","-14,843,510","-199,013","-344,723","-496,797,158","14,765",0%
2019,COCA-COLA CO,UNITED STATES OF AMERICA,Soft Drinks,Manufacture of beverages,-0.05,-0.16,"-1,698,666,282","-1,625,522,058","-407,567","-21,594,789","-5,042,046","-71,554","-273,276","-45,861,925","106,933",10%
2018,COCA-COLA CO,UNITED STATES OF AMERICA,Soft Drinks,Manufacture of beverages,-0.07,-0.21,"-2,084,717,111","-1,635,927,785","-404,719","-21,736,697","-5,078,349","-71,418","-233,410","-421,356,063","91,333",6%
2017,COCA-COLA CO,UNITED STATES OF AMERICA,Soft Drinks,Manufacture of beverages,-0.06,-0.23,"-2,128,072,017","-183,816,546","-76,092","-2,421,788","-548,018","-11,355","-259,734","-1,941,040,117","101,633",6%
2016,COCA-COLA CO,UNITED STATES OF AMERICA,Soft Drinks,Manufacture of beverages,-0.04,-0.18,"-1,764,276,586","-368,146,718","-124,474","-4,869,128","-1,118,175","-19,705","-307,233","-1,389,811,374","120,219",9%
2015,COCA-COLA CO,UNITED STATES OF AMERICA,Soft Drinks, Manufacture of beverages ,-0.02,-0.10,"-1,051,007,092","-590,140,789","-177,316","-7,820,177","-1,808,837","-29,170","-323,060","-450,834,155","126,413",14%
2014,COCA-COLA CO,UNITED STATES OF AMERICA,Soft Drinks, Manufacture of beverages ,-0.03,-0.13,"-1,342,408,717","-706,395,723","-202,294","-9,367,411","-2,172,515","-33,834","-310,791","-624,047,761","121,612",11%
2013,COCA-COLA CO,UNITED STATES OF AMERICA,Soft Drinks, Manufacture of beverages ,-0.05,-0.21,"-2,302,834,260","-920,538,738","-248,832","-12,217,077","-2,842,024","-42,482","-292,233","-1,366,767,223","114,350",7%
2012,COCA-COLA CO,UNITED STATES OF AMERICA,Soft Drinks, Manufacture of beverages ,-0.05,-0.23,"-2,576,233,121","-1,030,597,774","-276,359","-13,679,239","-3,183,456","-47,319","-310,213","-1,528,260,147","121,386",6%
2011,COCA-COLA CO,UNITED STATES OF AMERICA,Soft Drinks, Manufacture of beverages ,-0.05,-0.22,"-2,486,849,232","-1,035,724,237","-281,106","-13,745,015","-3,196,802","-47,922","-337,478","-1,433,648,728","132,054",7%
2010,COCA-COLA CO,UNITED STATES OF AMERICA,Soft Drinks, Manufacture of beverages ,-0.08,-0.32,"-2,939,620,304","-1,518,239,203","-379,569","-20,170,293","-4,710,086","-66,712","-246,861","-1,395,904,175","96,596",5%
2016,COGNIZANT TECH SOLUTIONS,UNITED STATES OF AMERICA,IT Consulting & Other Services,Computer and related activities (72),-0.01,-0.03,"-78,323,507","-73,490,463","-18,934","-975,220","-227,260","-3,299","-16,739","-3,598,262","6,670",11%
2015,COGNIZANT TECH SOLUTIONS,UNITED STATES OF AMERICA,IT Consulting & Other Services, Computer and related activities (72) ,-0.01,-0.04,"-88,334,100","-81,547,781","-18,519","-1,074,144","-250,701","-3,367","-15,356","-5,423,821",-409,3%
2014,COGNIZANT TECH SOLUTIONS,UNITED STATES OF AMERICA,IT Consulting & Other Services, Computer and related activities (72) ,-0.01,-0.03,"-65,506,407","-59,292,623","-15,051","-787,046","-183,555","-2,636","-11,730","-5,218,440","4,674",9%
2013,COGNIZANT TECH SOLUTIONS,UNITED STATES OF AMERICA,IT Consulting & Other Services, Computer and related activities (72) ,-0.01,-0.03,"-58,973,303","-56,746,628","-14,147","-753,514","-175,902","-2,494","-9,198","-1,275,085","3,665",8%
2012,COGNIZANT TECH SOLUTIONS,UNITED STATES OF AMERICA,IT Consulting & Other Services, Computer and related activities (72) ,-0.01,-0.04,"-60,932,648","-54,448,584","-13,468","-723,108","-168,873","-2,381","-7,991","-5,571,428","3,184",7%
2011,COGNIZANT TECH SOLUTIONS,UNITED STATES OF AMERICA,IT Consulting & Other Services, Computer and related activities (72) ,-0.01,-0.05,"-57,973,377","-50,877,099","-12,604","-675,656","-157,779","-2,227","-7,623","-6,243,427","3,037",7%
2010,COGNIZANT TECH SOLUTIONS,UNITED STATES OF AMERICA,IT Consulting & Other Services, Computer and related activities (72) ,-0.01,-0.07,"-56,044,237","-52,680,159","-12,724","-699,936","-163,660","-2,269","-5,320","-2,482,289","2,120",5%
2015,COLGATE-PALMOLIVE CO,UNITED STATES OF AMERICA,Household Products, Chemicals nec ,-0.02,-0.07,"-262,787,486","-207,368,307","-47,810","-2,582,773","-604,344","-8,374","-853,867","-51,316,555","-5,456",9%
2014,COLGATE-PALMOLIVE CO,UNITED STATES OF AMERICA,Household Products, Chemicals nec ,-0.02,-0.06,"-269,894,014","-212,205,067","-49,163","-2,648,065","-619,720","-8,594","-846,991","-53,511,369","-5,044",9%
2013,COLGATE-PALMOLIVE CO,UNITED STATES OF AMERICA,Household Products, Chemicals nec ,-0.02,-0.07,"-276,465,379","-220,355,367","-51,049","-2,769,686","-648,241","-8,967","-789,468","-51,838,423","-4,178",8%
2012,COLGATE-PALMOLIVE CO,UNITED STATES OF AMERICA,Household Products, Chemicals nec ,-0.02,-0.07,"-275,388,836","-218,975,335","-50,796","-2,750,963","-643,884","-8,911","-789,173","-52,165,599","-4,174",8%
2019,COMERICA INC,UNITED STATES OF AMERICA,Regional Banks,"Financial intermediation, except insurance and pension funding (65)",0.00,-0.01,"-11,630,800","-11,234,495","-3,086","-149,137","-34,880",-525,"-3,282","-206,930","1,535",14%
2018,COMERICA INC,UNITED STATES OF AMERICA,Regional Banks,"Financial intermediation, except insurance and pension funding (65)",0.00,-0.01,"-15,078,894","-12,841,928","-3,424","-170,532","-39,901",-588,"-3,091","-2,020,876","1,446",11%
2017,COMERICA INC,UNITED STATES OF AMERICA,Regional Banks,"Financial intermediation, except insurance and pension funding (65)",-0.01,-0.02,"-19,602,043","-16,537,484","-4,227","-219,704","-51,436",-738,"-2,828","-2,786,949","1,323",8%
2016,COMERICA INC,UNITED STATES OF AMERICA,Regional Banks,"Financial intermediation, except insurance and pension funding (65)",-0.01,-0.03,"-19,615,638","-18,170,904","-4,556","-241,451","-56,542",-801,"-2,545","-1,140,029","1,191",7%
2015,COMERICA INC,UNITED STATES OF AMERICA,Regional Banks," Financial intermediation, except insurance and pension funding (65) ",-0.01,-0.03,"-23,887,485","-19,837,209","-4,914","-263,626","-61,744",-867,"-2,395","-3,717,850","1,120",6%
2014,COMERICA INC,UNITED STATES OF AMERICA,Regional Banks," Financial intermediation, except insurance and pension funding (65) ",-0.01,-0.03,"-25,498,012","-21,723,819","-5,286","-288,749","-67,644",-939,"-2,017","-3,410,502",944,5%
2013,COMERICA INC,UNITED STATES OF AMERICA,Regional Banks," Financial intermediation, except insurance and pension funding (65) ",-0.01,-0.03,"-27,050,755","-22,624,675","-5,461","-300,746","-70,462",-974,"-1,825","-4,047,466",854,4%
2012,COMERICA INC,UNITED STATES OF AMERICA,Regional Banks," Financial intermediation, except insurance and pension funding (65) ",-0.01,-0.03,"-24,899,990","-21,693,642","-5,266","-288,354","-67,554",-937,"-1,939","-2,843,205",907,5%
2011,COMERICA INC,UNITED STATES OF AMERICA,Regional Banks," Financial intermediation, except insurance and pension funding (65) ",-0.01,-0.04,"-24,683,289","-23,837,434","-5,790","-316,848","-74,228","-1,030","-2,154","-446,813","1,007",5%
2010,COMERICA INC,UNITED STATES OF AMERICA,Regional Banks," Financial intermediation, except insurance and pension funding (65) ",-0.01,-0.07,"-22,017,646","-18,884,188","-4,626","-250,988","-58,793",-820,"-1,955","-2,817,190",915,5%
2019,COMMSCOPE HOLDING CO INC,UNITED STATES OF AMERICA,Communications Equipment,"Manufacture of radio, television and communication equipment and apparatus (32)",-0.01,-0.14,"-64,513,338","-62,139,544","-16,075","-839,218","-192,346","-2,800","-12,264","-1,317,409","6,318",12%
2018,COMMSCOPE HOLDING CO INC,UNITED STATES OF AMERICA,Communications Equipment,"Manufacture of radio, television and communication equipment and apparatus (32)",-0.02,-0.13,"-70,961,273","-66,561,235","-16,242","-892,240","-206,771","-2,887","-6,714","-3,278,643","3,459",7%
2017,COMMSCOPE HOLDING CO INC,UNITED STATES OF AMERICA,Communications Equipment,"Manufacture of radio, television and communication equipment and apparatus (32)",-0.02,-0.12,"-69,537,146","-62,784,484","-15,377","-841,998","-194,996","-2,730","-6,702","-5,694,311","3,453",7%
2016,COMMSCOPE HOLDING CO INC,UNITED STATES OF AMERICA,Communications Equipment,"Manufacture of radio, television and communication equipment and apparatus (32)",-0.02,-0.11,"-77,489,115","-69,897,560","-17,085","-937,156","-217,114","-3,035","-7,236","-6,413,657","3,728",6%
2015,COMMSCOPE HOLDING CO INC,UNITED STATES OF AMERICA,Communications Equipment," Manufacture of radio, television and communication equipment and apparatus (32) ",-0.02,-0.22,"-65,107,881","-59,460,400","-14,435","-796,544","-184,769","-2,571","-5,508","-4,646,492","2,838",6%
2015,COMPASS MINERALS INTL INC,UNITED STATES OF AMERICA,Diversified Metals & Mining, Quarrying of sand and clay ,-0.29,-1.44,"-314,734,682","-121,180,617","-29,880","-1,338,806","-309,716","-5,054","-1,301,762","-190,573,014","4,167",12%
2014,COMPASS MINERALS INTL INC,UNITED STATES OF AMERICA,Diversified Metals & Mining, Quarrying of sand and clay ,-0.27,-1.12,"-350,629,243","-135,457,622","-32,324","-1,509,917","-349,412","-5,541","-1,378,009","-211,898,033","1,617",12%
2013,COMPASS MINERALS INTL INC,UNITED STATES OF AMERICA,Diversified Metals & Mining, Quarrying of sand and clay ,-0.30,-1.84,"-343,661,623","-114,674,730","-28,544","-1,363,058","-316,659","-4,895","-794,835","-226,484,532","5,630",7%
2019,CONAGRA BRANDS INC,UNITED STATES OF AMERICA,Packaged Foods & Meats,Processing of Food products nec,-0.03,-0.22,"-310,236,203","-246,141,269","-62,118","-3,301,930","-765,161","-10,886","-36,450","-59,936,523","18,134",7%
2018,CONAGRA BRANDS INC,UNITED STATES OF AMERICA,Packaged Foods & Meats,Processing of Food products nec,-0.03,-0.19,"-237,674,105","-186,400,240","-47,478","-2,502,641","-579,274","-8,292","-30,336","-48,120,936","15,092",8%
2017,CONAGRA BRANDS INC,UNITED STATES OF AMERICA,Packaged Foods & Meats,Processing of Food products nec,-0.03,-0.16,"-264,696,478","-206,155,331","-51,928","-2,765,046","-640,899","-9,107","-29,910","-55,059,137","14,880",7%
2016,CONAGRA BRANDS INC,UNITED STATES OF AMERICA,Packaged Foods & Meats,Processing of Food products nec,-0.06,-0.57,"-669,246,300","-500,396,136","-121,549","-6,689,685","-1,557,432","-21,610","-44,493","-160,437,530","22,135",4%
2015,CONAGRA BRANDS INC,UNITED STATES OF AMERICA,Packaged Foods & Meats, Processing of Food products nec ,-0.04,-31.42,"-656,664,066","-495,431,821","-122,910","-6,635,797","-1,540,957","-21,678","-60,105","-152,880,699","29,902",6%
2014,CONAGRA BRANDS INC,UNITED STATES OF AMERICA,Packaged Foods & Meats, Processing of Food products nec ,-0.04,-0.50,"-706,410,818","-639,764,996","-156,213","-8,556,819","-1,990,880","-27,718","-61,956","-55,883,059","30,823",6%
2013,CONAGRA BRANDS INC,UNITED STATES OF AMERICA,Packaged Foods & Meats, Processing of Food products nec ,-0.04,-0.39,"-626,739,287","-572,538,232","-138,874","-7,653,173","-1,782,046","-24,704","-49,667","-44,577,301","24,709",5%
2012,CONAGRA BRANDS INC,UNITED STATES OF AMERICA,Packaged Foods & Meats, Processing of Food products nec ,-0.05,-0.82,"-631,748,854","-568,806,052","-137,110","-7,599,111","-1,770,772","-24,448","-43,974","-53,389,263","21,877",5%
2011,CONAGRA BRANDS INC,UNITED STATES OF AMERICA,Packaged Foods & Meats, Processing of Food products nec ,-0.05,-0.52,"-665,253,180","-547,997,922","-132,585","-7,323,503","-1,705,798","-23,608","-45,432","-108,046,935","22,602",4%
2010,CONAGRA BRANDS INC,UNITED STATES OF AMERICA,Packaged Foods & Meats, Processing of Food products nec ,-0.06,-0.60,"-683,698,714","-575,760,013","-138,618","-7,691,197","-1,792,488","-24,728","-43,461","-98,269,830","21,622",4%
2019,CONOCOPHILLIPS,UNITED STATES OF AMERICA,Oil & Gas Exploration & Production,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",-0.18,-0.82,"-5,811,622,014","-5,447,417,401","-1,572,751","-74,619,937","-16,838,638","-263,655","-2,546,605","-269,432,122","1,069,095",1%
2018,CONOCOPHILLIPS,UNITED STATES OF AMERICA,Oil & Gas Exploration & Production,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",-0.16,-0.64,"-5,716,195,395","-5,395,435,451","-1,560,970","-73,830,746","-16,662,930","-261,445","-2,869,544","-226,642,203","1,067,895",2%
2017,CONOCOPHILLIPS,UNITED STATES OF AMERICA,Oil & Gas Exploration & Production,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",-0.20,-2.37,"-5,962,383,630","-5,516,272,045","-1,571,129","-75,365,712","-17,083,716","-264,705","-2,321,364","-350,516,340","1,011,382",1%
2016,CONOCOPHILLIPS,UNITED STATES OF AMERICA,Oil & Gas Exploration & Production," Extraction of crude petroleum and services related to crude oil extraction, excluding surveying ",-0.29,NA,"-6,932,733,314","-6,576,710,773","-2,089,496","-91,141,923","-20,506,147","-339,759","-1,896,406","-241,903,049","1,854,238",1%
2015,CONOCOPHILLIPS,UNITED STATES OF AMERICA,Oil & Gas Exploration & Production," Extraction of crude petroleum and services related to crude oil extraction, excluding surveying ",-0.19,NA,"-5,683,435,599","-5,353,268,281","-2,081,533","-75,596,267","-16,979,927","-321,562","-2,263,794","-235,627,629","2,703,394",1%
2014,CONOCOPHILLIPS,UNITED STATES OF AMERICA,Oil & Gas Exploration & Production," Extraction of crude petroleum and services related to crude oil extraction, excluding surveying ",-0.10,-0.63,"-5,443,106,064","-5,529,201,940","-2,251,430","-78,316,628","-17,509,725","-343,330","-3,659,242","185,074,580","3,101,651",1%
2013,CONOCOPHILLIPS,UNITED STATES OF AMERICA,Oil & Gas Exploration & Production," Extraction of crude petroleum and services related to crude oil extraction, excluding surveying ",-0.10,-0.45,"-5,583,536,652","-5,653,270,028","-2,230,482","-80,942,673","-17,784,042","-344,271","-2,914,682","170,907,079","3,042,447",1%
2012,CONOCOPHILLIPS,UNITED STATES OF AMERICA,Oil & Gas Exploration & Production," Extraction of crude petroleum and services related to crude oil extraction, excluding surveying ",-0.08,-0.35,"-4,606,366,999","-4,750,656,390","-2,131,518","-68,326,973","-15,066,659","-317,439","-4,007,058","230,851,658","3,287,380",1%
2011,CONOCOPHILLIPS,UNITED STATES OF AMERICA,Oil & Gas Exploration & Production," Extraction of crude petroleum and services related to crude oil extraction, excluding surveying ",-0.07,-0.88,"-16,887,180,203","-16,746,674,154","-5,319,078","-227,866,371","-52,061,482","-862,992","-13,865,530","154,886,952","4,582,452",2%
2010,CONOCOPHILLIPS,UNITED STATES OF AMERICA,Oil & Gas Exploration & Production," Extraction of crude petroleum and services related to crude oil extraction, excluding surveying ",-0.10,-1.26,"-17,900,222,379","-17,848,110,494","-5,287,574","-241,008,431","-55,136,224","-873,037","-14,859,898","261,417,862","3,635,417",2%
2019,CONSOLIDATED EDISON INC,UNITED STATES OF AMERICA,Multi-Utilities,Production of electricity nec,-0.13,-0.62,"-1,662,612,366","-1,629,321,510","-335,447","-18,886,217","-4,337,319","-60,786","-1,901,465","-7,625,344","-144,278",24%
2018,CONSOLIDATED EDISON INC,UNITED STATES OF AMERICA,Multi-Utilities,Production of electricity nec,-0.14,-0.68,"-1,726,016,219","-1,690,618,361","-351,768","-19,760,386","-4,543,867","-63,660","-1,865,626","-8,676,020","-136,530",23%
2017,CONSOLIDATED EDISON INC,UNITED STATES OF AMERICA,Multi-Utilities,Production of electricity nec,-0.14,-0.66,"-1,732,526,760","-1,695,603,901","-352,132","-19,886,151","-4,575,704","-63,829","-1,819,654","-10,086,791","-138,597",22%
2016,CONSOLIDATED EDISON INC,UNITED STATES OF AMERICA,Multi-Utilities,Production of electricity nec,-0.15,-0.71,"-1,753,687,976","-1,718,311,110","-358,068","-20,181,022","-4,644,547","-64,842","-1,826,005","-8,165,641","-136,740",22%
